latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
25.58905,76.73212,340.76,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,299.11,6.92,D,0
25.59853,76.5775,339,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,296.4,9.64,D,0
25.60108,76.6143,335.52,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,298.14,4.56,D,0
25.60709,76.62965,334.34,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,297.06,1.75,D,0
25.61158,76.52921,334.11,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,302.02,3.92,D,0
25.61295,76.7931,343.58,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,303.41,5.86,D,0
25.61632,76.79243,348.39,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,302.74,5.86,D,0
25.63247,76.54994,337.15,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,304.61,3.11,D,0
25.63585,76.54926,353.69,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,312.42,38.03,D,0
25.63624,76.72272,347.08,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,297.72,5.02,D,0
25.63858,76.54456,337.78,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,303.88,4.09,D,0
25.63906,76.54491,336.52,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,305.12,4,D,0
25.64177,76.54022,331.44,0.41,0.37,2023-11-06,755,N,VIIRS,l,2,304.17,4,D,0
25.64244,76.54424,346.66,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,304.13,4,D,0
25.64516,76.53954,333.79,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,302.52,2.85,D,0
25.66873,76.5763,337.48,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,304,3.35,D,0
25.6694,76.58031,335.03,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,302.46,3.35,D,0
25.66946,76.55957,332.04,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,301.36,16.62,D,0
25.67013,76.56358,349.91,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,310.71,16.62,D,0
25.68638,76.55618,340.29,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,303.57,3.13,D,0
25.68704,76.56019,339.02,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,301.28,3.13,D,0
25.68976,76.5555,341.69,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,303.72,4.09,D,0
25.69703,76.59963,333.19,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,301.19,5.23,D,0
25.69769,76.60365,338.58,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,299.32,7.49,D,0
25.70123,76.56149,335.46,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,302.54,2.58,D,0
25.70462,76.56081,332.25,0.41,0.37,2023-11-06,755,N,VIIRS,l,2,302.42,3.02,D,0
25.71795,76.59957,345.03,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,304.64,5.58,D,0
25.71796,76.72733,346.23,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,305.45,10.48,D,0
25.72134,76.59888,338.98,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,302.52,5.58,D,0
25.73409,76.61288,338.19,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,301.22,5.18,D,0
25.73616,76.60419,345.08,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,307.06,21.29,D,0
25.73888,76.59951,337.29,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,306.01,8.01,D,0
25.74085,76.61154,334.43,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,301.88,2.36,D,0
25.74161,76.59483,336.65,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,299.76,8.01,D,0
25.74226,76.59883,337.1,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,304.22,8.01,D,0
25.74248,76.55737,352.02,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,299.82,13.36,D,0
25.7524,76.5968,345.16,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,305.74,7.6,D,0
25.75317,76.58008,336.23,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,302.39,3.26,D,0
