latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
30.74611,72.48323,333.48,0.45,0.39,2024-10-16,826,N,VIIRS,l,2,303.67,1.8,D,0
30.74749,73.63262,332.44,0.5,0.41,2024-10-16,826,N,VIIRS,l,2,305.37,2.22,D,0
30.75394,73.84771,333.09,0.51,0.41,2024-10-16,826,N,VIIRS,n,2,307.27,2.41,D,0
30.75394,73.91357,332.52,0.52,0.41,2024-10-16,826,N,VIIRS,n,2,307.27,3.3,D,0
30.7566,73.67696,338.43,0.5,0.41,2024-10-16,826,N,VIIRS,n,2,310.97,7.62,D,0
30.75696,73.67931,338.69,0.5,0.41,2024-10-16,826,N,VIIRS,n,2,312.68,5.31,D,0
30.76073,73.67873,336.67,0.5,0.41,2024-10-16,826,N,VIIRS,l,2,310.51,5.31,D,0
30.76098,73.68165,344.14,0.5,0.41,2024-10-16,826,N,VIIRS,n,2,309.99,7.62,D,0
30.76753,73.04142,332.88,0.47,0.4,2024-10-16,826,N,VIIRS,n,2,305.5,2.44,D,0
30.77056,73.63188,346.31,0.5,0.41,2024-10-16,826,N,VIIRS,n,2,308.99,6.09,D,0
30.77299,73.02544,339.03,0.47,0.4,2024-10-16,826,N,VIIRS,n,2,307.05,4.12,D,0
30.77607,73.8061,332.63,0.51,0.41,2024-10-16,826,N,VIIRS,l,2,306.67,1.65,D,0
30.78046,73.68397,335.08,0.5,0.41,2024-10-16,826,N,VIIRS,l,2,307.84,2.3,D,0
30.78404,73.91767,335.49,0.52,0.41,2024-10-16,826,N,VIIRS,l,2,308.51,2.88,D,0
30.78576,73.91969,336.58,0.52,0.41,2024-10-16,826,N,VIIRS,n,2,307.17,5.74,D,0
30.78834,73.78549,332.89,0.51,0.41,2024-10-16,826,N,VIIRS,l,2,307.68,2.86,D,0
30.78838,73.97463,332.82,0.52,0.41,2024-10-16,826,N,VIIRS,l,2,307,2.78,D,0
30.79107,73.91107,337.95,0.52,0.41,2024-10-16,826,N,VIIRS,l,2,310.82,8.37,D,0
30.7921,73.9077,338.03,0.52,0.41,2024-10-16,826,N,VIIRS,n,2,308.43,9.03,D,0
30.79612,73.92133,344.19,0.52,0.41,2024-10-16,826,N,VIIRS,n,2,308.18,11.81,D,0
30.79786,73.92336,334.68,0.52,0.41,2024-10-16,826,N,VIIRS,l,2,305.41,17.26,D,0
30.79825,73.19874,342.62,0.48,0.4,2024-10-16,826,N,VIIRS,n,2,308.92,3.93,D,0
30.79994,73.92073,330.87,0.52,0.41,2024-10-16,826,N,VIIRS,l,2,304.18,2.05,D,0
30.80033,73.78906,340.17,0.51,0.41,2024-10-16,826,N,VIIRS,n,2,306.18,5.68,D,0
30.80157,73.79977,342.03,0.51,0.41,2024-10-16,826,N,VIIRS,n,2,311.2,6.29,D,0
30.80252,74.54618,343.52,0.56,0.43,2024-10-16,826,N,VIIRS,n,2,307.6,15.27,D,0
30.8052,73.86485,336.6,0.51,0.41,2024-10-16,826,N,VIIRS,n,2,308.48,1.77,D,0
30.80537,73.79918,340.1,0.51,0.41,2024-10-16,826,N,VIIRS,n,2,308.61,6.29,D,0
30.81078,73.91354,334.19,0.52,0.41,2024-10-16,826,N,VIIRS,n,2,308.15,1.83,D,0
30.81359,73.80334,335.62,0.51,0.41,2024-10-16,826,N,VIIRS,l,2,309.54,9.91,D,0
30.82028,74.13577,333.71,0.53,0.42,2024-10-16,826,N,VIIRS,l,2,306.62,5.18,D,0
30.82113,73.83498,334.01,0.51,0.41,2024-10-16,826,N,VIIRS,l,2,307.43,2.97,D,0
30.82248,73.78017,335.61,0.51,0.41,2024-10-16,826,N,VIIRS,n,2,309.21,3.03,D,0
30.82262,74.1319,338.29,0.53,0.42,2024-10-16,826,N,VIIRS,n,2,307.53,4.43,D,0
30.83256,73.34499,339.81,0.49,0.4,2024-10-16,826,N,VIIRS,n,2,306.76,4.44,D,0
30.83257,73.8004,347.49,0.51,0.41,2024-10-16,826,N,VIIRS,n,2,311.58,9.58,D,0
30.83637,73.7998,339.5,0.51,0.41,2024-10-16,826,N,VIIRS,n,2,307.78,9.58,D,0
30.83774,73.26129,330.95,0.48,0.4,2024-10-16,826,N,VIIRS,l,2,305.37,1.54,D,0
30.84196,73.91424,335.45,0.52,0.41,2024-10-16,826,N,VIIRS,n,2,308.32,3.39,D,0
30.84453,73.90279,342.46,0.52,0.41,2024-10-16,826,N,VIIRS,n,2,307.76,13.43,D,0
30.84516,73.90822,335.97,0.52,0.41,2024-10-16,826,N,VIIRS,n,2,306.06,13.43,D,0
30.84834,73.90221,347.57,0.52,0.41,2024-10-16,826,N,VIIRS,n,2,311.24,13.43,D,0
